Entry,EC number
A0A3R5XUE6,1.1.1.-
A0A455ZIK8,1.-.-.-
A0A455ZJD4,2.3.2.-
A0A455ZJM4,3.1.6.-
A0A455ZKR7,1.14.11.-
A0A455ZLR3,2.8.2.-
A0A455ZM03,1.-.-.-
A0A455ZMR3,1.14.11.-; 1.14.11.57
A0A482PJF5,2.3.2.27
A0A482PJY4,2.3.2.27
A0A482PUS2,2.3.2.27
A0A498JQK2,4.1.1.36
A0A509AM03,3.4.21.62
A0A559KX76,2.4.2.-; 3.2.1.-
A0A5B9GBF0,2.7.11.24
A0A5J5NT52,2.7.11.1
A0A5J5T2N2,2.7.11.1
A0A6A6H2E0,4.2.3.-
A0A6A6H402,2.5.1.-
A0A6B9HEI0,2.1.1.-
A0A7G5KET3,2.7.2.3
A0A7T8F1I4,1.14.14.-
A0A7T8F1J6,2.7.1.-
A0A7T8F1J7,1.14.11.-
A0A7T8F1L1,5.5.1.-
A0A7T8F1L2,1.-.-.-
A0A7T8F1L3,2.1.1.-
A0A7T8F1L4,1.2.1.101
A0A7T8F1M6,1.5.1.-
A0A7T8F1M9,1.3.1.-
A0A7T8F1N2,1.1.1.-
A0A7T8J1U7,2.4.2.14
A0A7T8J1Z8,2.1.1.-
A0A7U2MMF3,1.1.1.1
A0A7U2MSD6,3.1.3.16
A0A7U2QYM2,2.3.1.-; 2.3.1.48
A0A8C2LVE3,2.8.2.-
A0A8C2M425,2.4.1.-
A0A8I6GJ95,1.1.1.122
A0A8I6GM68,2.3.2.-; 3.5.1.-
A0A8J1LLF7,3.1.26.3
A0A974H8H3,3.1.26.3
A0A9E7LUJ4,1.14.19.-
A0A9E7LUL3,2.3.1.322
A0A9E7LUR3,1.3.1.36
A0A9E7S4M3,1.14.14.187; 1.14.19.80
A0A9E7S4M4,1.14.19.80
A0A9E7S518,1.1.1.440
A0A9E7S5B9,1.1.1.440
A0A9E7S5E3,2.3.1.322
A0A9P4XUZ4,1.14.11.53
A0A9P5CQV5,2.1.1.348
A0A9P5CTI1,3.1.3.2
A0AA51VIL5,2.1.1.27
A0AA51VIL7,2.1.1.27
A0AA51VIM4,2.1.1.-
A0AA51VJB7,1.14.-.-
A0AA51VKJ3,2.1.1.-
A0AA51Z0J6,2.1.1.-
A0AA51Z3J4,4.1.1.25; 4.1.1.28
A0AA51Z3S7,2.1.1.-
A0AAN4PAE6,4.3.1.24
A0AAN4PB13,6.3.2.-
A0AAN4PBA1,1.-.-.-
A0AAT9JA24,1.1.1.122
A0AAW1HA02,2.4.1.-
A0AAW1I778,2.4.1.-
A0AAW1IQ05,2.4.1.-
A0AAW1J1B8,2.4.1.-
A0AAW1J8D7,1.14.14.-
A0AAW1J9R8,2.4.1.-
A0AAW1JA93,1.14.14.-; 1.14.14.126
A0AAW1K8I9,2.4.1.-
A0AAW1L0L7,5.4.99.39
A0AAW1LG41,2.3.1.-
A0AAW1M2U7,2.4.1.-
A0AAW1MQS1,2.4.1.-
A0AAW1NEA3,1.14.14.126
A0AAW1NHX6,1.1.1.-
A0QT90,3.2.2.-; 4.2.99.18
A0QT91,3.2.2.27; 5.6.2.-; 5.6.2.4
A0R3E8,2.4.1.-
A1L1L6,3.6.5.-
A1Z830,2.1.1.-
A1ZB29,2.7.4.9
A2QQU4,1.14.-.-
A2QQU5,1.-.-.-
A2QQU9,1.14.-.-
A2QQV0,2.3.1.-; 6.3.2.-
A3C5V6,2.3.1.-
A3FMN3,3.1.-.-
A3MTR6,5.3.1.8; 5.3.1.9
A4XXY8,1.6.2.-
A4XXY9,1.14.13.238
A4XXZ0,2.1.2.-
A5K264,1.5.1.38; 4.2.3.5
A6TGC5,5.6.2.4
A7GKX6,1.1.1.136
A7GKX7,4.1.1.128
A8M6W1,1.14.-.-
A8M6W6,2.5.1.-
B0WQ10,3.1.-.-
B0XAA1,3.2.1.20
B1G5Y9,2.3.1.319
B1PUC6,1.-.-.-
B2HG54,1.14.-.-
B4ER92,2.3.1.290
B4ER95,2.3.1.290
B4ER96,2.3.1.290
B4ER97,2.3.1.290
B4XYC8,3.2.2.-
B6ZKM3,3.2.1.105; 3.2.1.220
B6ZKM4,3.2.1.-
B6ZKM5,3.2.1.-
B6ZKN1,3.2.1.-
B7R4L8,2.3.1.193
B8NLZ3,3.1.3.16
B9ZUK6,4.1.1.129
C0HMD9,2.5.1.15
C0JJA4,2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-
C3W5S0,3.1.-.-
C5E4D9,3.6.4.-
C5MR76,5.4.99.14
C6KT66,1.5.1.38; 4.2.3.5
C6SZ50,4.1.1.36
C6TA59,4.1.1.36
C7M8J5,2.5.1.76
C7M8J6,2.3.1.-
D1A230,1.13.11.-
D2VS83,5.6.1.1
D3KY98,2.1.1.-; 2.1.1.128; 2.1.1.396
D3KY99,2.1.1.-; 2.1.1.128; 2.1.1.395
D3KYA0,2.1.1.-
D3TS87,3.1.-.-
D4QD81,3.4.21.-
D5RFM4,5.1.1.24
D8QZ31,4.2.1.183
D8S724,4.2.1.183
E0D202,2.3.1.-; 4.1.1.-
E0D203,2.3.1.-
E0D204,2.3.1.-
E0D205,2.3.1.-
E0D206,2.3.1.-
E0D207,1.14.-.-
E0D208,2.1.1.-
E0N688,3.4.17.-; 3.4.24.-
E1B8U2,2.1.1.-
E6Y8B9,3.4.21.62
E7FHH1,1.97.1.13
E7FL15,2.1.1.395; 2.1.1.396
E9Q368,2.1.1.34
E9Q3D4,1.1.1.122
F0LJX3,3.6.4.-; 5.6.2.-
F8AME3,1.-.-.-
G0RBE3,2.7.11.1; 3.1.26.-
G0RT93,3.1.3.16
G0S1P8,1.11.1.24
G1X456,2.7.11.11
G1XJZ4,2.7.11.24
G2QA95,1.14.13.-
G2X0L1,3.2.1.8
G2X4G1,3.2.1.8
G2X5X8,3.2.1.8
G2X8M4,3.2.1.8
G4MSY9,2.1.1.348
G4MZ21,1.14.11.53
G4N954,4.2.1.18
G4NCP4,5.3.3.21
G7IFI7,5.3.1.16
G7LCC3,2.7.13.3
I0AIT9,2.4.1.391
I6XA42,2.3.1.-
I6Y498,3.6.1.-
J9VI85,4.2.3.1
J9VIY8,2.3.1.31
J9VQZ9,3.6.4.-
J9VS37,2.7.2.4
J9VU26,2.7.1.39
K9GHZ3,3.2.1.8
M4MEY9,3.2.1.8
M4MGK7,3.2.1.8
M4MLB5,3.2.1.8
O24769,3.1.3.112
O24770,5.3.99.13
O51799,5.4.99.14
P0DXG6,1.7.1.-
P0DXG7,4.3.3.-
P0DXG8,7.6.2.2
P0DXI6,3.1.-.-
P0DXI7,3.1.-.-
P0DXI8,3.1.-.-
P0DXJ0,2.7.11.1
P0DXJ1,1.3.1.36
P0DXJ2,1.14.14.-
P0DXJ3,1.5.1.32
P0DXJ4,3.1.1.80
P0DXJ5,3.1.1.80
P0DXJ6,1.14.-.-
P0DXJ7,2.1.1.-
P0DXJ8,2.1.1.-
P0DXJ9,2.1.1.-
P0DXN8,3.2.2.5
P0DXO5,3.1.-.-
P0DXU5,7.6.2.2
P0DXU7,7.6.2.2
P0DXU9,1.14.14.154
P0DXV0,1.14.14.154
P0DXV1,2.1.1.-
P0DXV2,2.1.1.-
P0DXV3,6.3.2.-
P0DXV4,6.3.2.-
P0DXV5,1.-.-.-
P0DXV6,1.-.-.-
P0DXV7,1.-.-.-; 2.3.1.-
P0DXV8,1.-.-.-; 2.3.1.-
P0DXV9,1.-.-.-
P0DXW0,5.4.99.-
P0DXW1,5.4.99.-
P0DXW2,1.1.1.-
P0DXX5,2.3.1.-
P0DXY1,1.14.13.-; 1.3.1.-
P0DXZ0,1.2.1.46
P0DXZ1,2.3.1.312
P0DXZ2,5.1.1.25
P0DXZ6,3.1.1.4
P0DY05,3.2.1.183
P0DY06,2.5.1.56
P0DY07,2.7.7.43
P0DY22,1.1.-.-
P0DY23,4.2.3.-
P0DY42,3.1.1.4
P9WEF8,1.1.1.-
P9WEG0,1.-.-.-
P9WEG1,2.3.1.-
P9WEG2,3.1.1.-
P9WEG3,2.5.1.-
P9WEG4,2.1.1.-
P9WEG5,1.-.-.-
P9WEG6,1.1.1.-
P9WEG7,5.4.99.-
Q080S8,1.16.-.-
Q0CPG6,1.-.-.-
Q0CPG7,1.-.-.-
Q0CPG8,4.2.3.-
Q0CPG9,4.2.1.9
Q0KAA1,2.3.1.318
Q10SS2,3.1.1.-
Q1MWN4,4.3.3.9
Q2PAY2,2.7.11.1
Q2PAY3,2.7.11.1
Q2R560,2.7.11.1
Q2RBS5,1.6.5.-
Q2TR58,3.5.2.6
Q2TXQ1,2.1.1.-
Q2TXQ8,2.3.1.-
Q2TXQ9,2.1.1.-
Q2U919,3.1.3.16
Q2WE96,4.2.1.121; 4.2.1.183
Q388N2,3.1.3.16
Q3J189,1.14.15.9
Q47720,6.3.2.35
Q4J8Q7,2.4.-.-
Q4J8R1,5.6.2.4
Q4J8R2,4.2.99.18
Q4WD22,2.4.-.-; 3.2.1.14
Q4WF00,1.14.99.-
Q4WMW2,2.4.-.-; 3.2.1.14
Q4WTH5,3.1.3.16
Q4WWR8,1.2.1.11
Q4WXE6,2.4.-.-; 3.2.1.14
Q4WXF4,2.1.2.1
Q53AM4,3.4.21.90
Q584D1,2.7.8.-
Q58T34,2.7.1.52; 2.7.7.30
Q5ALM0,1.2.1.11
Q5AV79,3.1.-.-
Q5AY37,3.1.-.-
Q5AY39,2.3.1.-
Q5EP34,3.1.-.-
Q5F676,3.4.17.-; 3.4.24.-
Q5F6V8,5.6.2.4
Q5JHC6,2.3.1.193
Q5KIM6,3.6.4.-
Q5KPK7,1.2.1.11
Q5SC50,2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-
Q5SC51,3.2.1.18
Q5TVM9,3.6.1.5
Q5U117,1.3.8.-
Q6LXX7,4.3.1.12
Q6M0N8,3.4.-.-
Q6XEC0,3.5.2.6
Q70KH3,2.1.1.353
Q70KH6,1.14.15.37
Q7K6A5,7.6.2.2
Q7PYT9,3.2.1.20
Q83XP3,2.1.1.394
Q83YH3,1.14.15.9
Q88NV1,5.6.2.-; 5.6.2.4
Q8CWM9,3.6.4.-
Q8H305,2.3.1.-
Q8IBI5,2.8.1.7
Q8IDH9,7.-.-.-
Q8IPZ3,1.6.5.2
Q8KN66,5.1.3.45; 5.1.3.7
Q8LDU1,1.14.-.-
Q8QV65,3.2.1.18
Q8RI81,5.1.1.24
Q8U3G4,2.3.1.193
Q8XAN6,2.3.2.27
Q8ZL98,2.3.1.-
Q92ZP7,1.5.1.-
Q92ZP8,1.-.-.-
Q92ZP9,1.14.13.247
Q95P65,3.6.1.5
Q97U12,2.3.1.193
Q97ZJ8,5.6.2.1
Q980C5,2.3.1.193
Q98500,3.6.1.74
Q9FD33,4.3.3.-
Q9FD36,1.7.1.-
Q9JN36,3.4.13.22; 3.4.17.-
Q9K163,3.4.17.-; 3.4.24.-
Q9KJT3,2.7.13.3
Q9KN86,3.4.24.-
Q9KU93,3.4.24.-
Q9KUL5,3.4.24.-
Q9KZP3,2.7.8.41
Q9L391,4.3.3.9
Q9L392,3.-.-.-
Q9L393,4.2.1.70
Q9MCT1,3.1.21.-; 3.6.4.-
Q9RHD7,1.1.1.136
Q9UVF9,3.2.1.8
Q9VBV8,2.4.1.259; 2.4.1.261
Q9VC03,2.7.7.1; 2.7.7.18
Q9VGV8,1.8.1.9
Q9VHC5,1.14.11.65
Q9VJ31,2.1.1.5
Q9VJ90,2.7.11.1
Q9VU77,1.14.11.63; 3.4.-.-
Q9W0M3,1.14.11.73; 3.4.-.-
Q9W2W5,3.2.2.19
Q9W3Y1,2.7.11.1
Q9W4J9,3.2.2.19
Q9WAF5,3.2.1.18
Q9ZPL5,2.5.1.160
S8EUF0,2.7.11.24
S8EXU2,7.-.-.-
S8GI44,2.7.11.1
V9TNS0,3.2.1.37; 3.2.1.55
V9TS54,3.2.1.8
V9TT49,3.2.1.37; 3.2.1.55
W1QET1,2.7.7.80; 2.8.1.11
