Entry,Pathway
A0A0U3S9Q3,"PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:12391554, ECO:0000269|PubMed:26715562, ECO:0000269|PubMed:38212296}."
A0A0U4BHM2,PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:26715562}.
A0A139AVY4,PATHWAY: Protein biosynthesis; polypeptide chain elongation. {ECO:0000250|UniProtKB:O93796}.
A0A179UL48,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3. {ECO:0000269|PubMed:30107909}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5. {ECO:0000269|PubMed:30107909}.
A0A1D8PMB8,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000250|UniProtKB:P10869}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000250|UniProtKB:P10869}.
A0A218NGS0,"PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:28654178, ECO:0000269|PubMed:38212296}."
A0A2T1AE85,PATHWAY: Amino-acid degradation. {ECO:0000305|PubMed:36690779}.
A0A2Z5U367,"PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:28631282, ECO:0000305|PubMed:29384650}."
A0A2Z5U368,"PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:28631282, ECO:0000269|PubMed:29384650}."
A0A2Z5U3C2,"PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:28631282, ECO:0000269|PubMed:29384650}."
A0A2Z5U507,"PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:28631282, ECO:0000269|PubMed:29384650}.; PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis."
A0A2Z5U6I9,"PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:28631282, ECO:0000269|PubMed:29384650}."
A0A2Z5UFJ1,"PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:28631282, ECO:0000305|PubMed:29384650}."
A0A2Z5UHX0,"PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:28631282, ECO:0000305|PubMed:29384650}."
A0A384JXV5,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097}.
A0A384K474,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097}.
A0A3R5XUE6,PATHWAY: Lipid metabolism. {ECO:0000305|PubMed:35414181}.
A0A455ZIK8,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000305|PubMed:30452111}.
A0A455ZJD4,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:30452111}.
A0A455ZKR7,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:38578094}.
A0A455ZLR3,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000305|PubMed:30452111}.
A0A455ZM03,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000305|PubMed:30452111}.
A0A455ZMR3,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:38578094}.
A0A498JQK2,PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000250|UniProtKB:Q9SWE5}.
A0A6A6H2E0,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39310987}.
A0A6A6H402,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39310987}.
A0A6B9HEI0,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:31774078}.
A0A7G5KET3,PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 2/5. {ECO:0000250|UniProtKB:P00560}.
A0A7T8F1I4,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8F1J6,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8F1J7,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8F1L1,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8F1L3,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8F1L4,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8F1M6,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8F1M9,PATHWAY: Alkaloid biosynthesis; ergot alkaloid biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8F1N2,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A7T8J1U7,PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/2. {ECO:0000305|PubMed:33372776}.
A0A7T8J1Z8,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:33372776}.
A0A8C2M425,PATHWAY: Glycolipid biosynthesis; glycosylphosphatidylinositol-anchor biosynthesis. {ECO:0000269|PubMed:23694781}.
A0A8I6GM68,PATHWAY: Protein modification; protein ubiquitination. {ECO:0000250|UniProtKB:Q9UBN7}.
A0A9E7LUJ4,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:36349266}.
A0A9E7LUL3,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:36349266}.
A0A9E7LUR3,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:36349266}.
A0A9E7S4M3,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:36349266}.
A0A9E7S4M4,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:36349266}.
A0A9E7S518,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:36349266}.
A0A9E7S5B9,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:36349266}.
A0A9E7S5E3,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:36349266}.
A0AA51VIL5,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:37675639}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:37675639}.
A0AA51VIL7,"PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:37675639, ECO:0000269|PubMed:38835170}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:37675639, ECO:0000269|PubMed:38835170}."
A0AA51VIM4,"PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:37675639, ECO:0000269|PubMed:38835170}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:37675639, ECO:0000269|PubMed:38835170}."
A0AA51VJB7,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:37675639}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:37675639}.
A0AA51VKJ3,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:37675639}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:37675639}.
A0AA51Z0J6,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:37675639}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:37675639}.
A0AA51Z3J4,"PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:37675639, ECO:0000269|PubMed:38835170}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:37675639, ECO:0000269|PubMed:38835170}."
A0AA51Z3S7,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:37675639}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:37675639}.
A0AAN4PAE6,PATHWAY: Alkaloid biosynthesis. {ECO:0000305|PubMed:35302734}.
A0AAN4PB13,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:35302734}.
A0AAN4PBA1,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:35302734}.
A0AAT9JA24,PATHWAY: Carbohydrate degradation; L-fucose degradation. {ECO:0000305}.
A0AAW1HA02,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1I778,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1IQ05,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1J1B8,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1J8D7,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1J9R8,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1JA93,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1K8I9,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1L0L7,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1LG41,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1M2U7,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1MQS1,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1NEA3,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0AAW1NHX6,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:39043959}.
A0R3E8,PATHWAY: Protein modification; protein glycosylation. {ECO:0000269|PubMed:23550160}.
A1ZB29,PATHWAY: Pyrimidine metabolism; dTTP biosynthesis. {ECO:0000305|PubMed:38518117}.
A2QQU4,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:25044953}.
A2QQU5,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000250|UniProtKB:A0A0E0RXA7}.
A2QQU9,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:25044953}.
A5K264,PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 7/7. {ECO:0000250|UniProtKB:Q12640}.
B4ER92,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:17763486}.; PATHWAY: Polyketide biosynthesis. {ECO:0000305|PubMed:17763486}.
B4ER95,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:17763486}.; PATHWAY: Polyketide biosynthesis. {ECO:0000305|PubMed:17763486}.
B4ER96,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:17763486}.; PATHWAY: Polyketide biosynthesis. {ECO:0000305|PubMed:17763486}.
B4ER97,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:17763486}.; PATHWAY: Polyketide biosynthesis. {ECO:0000305|PubMed:17763486}.
B6ZKM3,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:18927081}.
B6ZKM4,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:18927081}.
B6ZKM5,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:18927081}.
B6ZKN1,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:18927081}.
B9ZUK6,"PATHWAY: Antibiotic biosynthesis. {ECO:0000269|PubMed:20080978, ECO:0000305|PubMed:19171307}."
C0HMD9,"PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 7,8-dihydrofolate from 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate and 4-aminobenzoate: step 1/2. {ECO:0000255|RuleBase:RU361205, ECO:0000303|PubMed:37419898}."
C5E4D9,PATHWAY: Protein biosynthesis; polypeptide chain elongation. {ECO:0000250|UniProtKB:O93796}.
C6KT66,PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 7/7. {ECO:0000250|UniProtKB:Q12640}.
C6SZ50,PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000250|UniProtKB:Q9SWE5}.
C6TA59,PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000250|UniProtKB:Q9SWE5}.
C7M8J5,PATHWAY: Lipid metabolism. {ECO:0000305|PubMed:35414181}.
C7M8J6,PATHWAY: Lipid metabolism. {ECO:0000305|PubMed:35414181}.
D3KY98,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:20061395}.
D3KY99,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:20061395}.
D3KYA0,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:20061395}.
D8QZ31,PATHWAY: Lipid metabolism; oxylipin biosynthesis. {ECO:0000269|PubMed:26776054}.
D8S724,PATHWAY: Lipid metabolism; oxylipin biosynthesis. {ECO:0000269|PubMed:26776054}.
E0D202,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:20589823}.
E0D203,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:20589823}.
E0D204,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:20589823}.
E0D205,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:20589823}.
E0D206,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:20589823}.
E0D207,"PATHWAY: Antibiotic biosynthesis. {ECO:0000269|PubMed:20589823, ECO:0000269|PubMed:26630077}."
E0D208,"PATHWAY: Antibiotic biosynthesis. {ECO:0000269|PubMed:26630077, ECO:0000305|PubMed:20589823}."
E0D209,PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:20589823}.
E7FL15,PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:21228475}.
E9Q3D4,PATHWAY: Carbohydrate degradation; L-fucose degradation. {ECO:0000250|UniProtKB:Q9MYP6}.
F8AME3,PATHWAY: Membrane lipid metabolism. {ECO:0000305|PubMed:38898040}.
G0SE11,PATHWAY: tRNA modification; 5-methoxycarbonylmethyl-2-thiouridine-tRNA biosynthesis. {ECO:0000255|HAMAP-Rule:MF_03048}.
G2X0L1,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097}.
G2X4G1,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097}.
G2X5X8,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097}.
G2X8M4,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097}.
G4N954,PATHWAY: Amino-acid degradation; L-leucine degradation; (S)-3-hydroxy-3-methylglutaryl-CoA from 3-isovaleryl-CoA: step 3/3. {ECO:0000305|PubMed:32431008}.
G4NCP4,PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000269|PubMed:36774535}.
G7IFI7,PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 4/9. {ECO:0000269|PubMed:39186852}.
J9VI85,PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 5/5. {ECO:0000269|PubMed:18757810}.
J9VIY8,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-acetyl-L-homoserine from L-homoserine: step 1/1. {ECO:0000269|PubMed:17353245}.
J9VQZ9,PATHWAY: Protein biosynthesis; polypeptide chain elongation. {ECO:0000250|UniProtKB:O93796}.
J9VS37,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000269|PubMed:18757810}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000269|PubMed:18757810}.
J9VU26,PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 4/5. {ECO:0000269|PubMed:18757810}.
K9GHZ3,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000255|PROSITE-ProRule:PRU01097}.
M4MGK7,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000269|PubMed:23306124}.
M4MLB5,PATHWAY: Glycan degradation; xylan degradation. {ECO:0000269|PubMed:23306124}.
O96161,PATHWAY: Cofactor biosynthesis; iron-sulfur cluster biosynthesis. {ECO:0000305}.
O97297,PATHWAY: Cofactor biosynthesis; iron-sulfur cluster biosynthesis. {ECO:0000305}.
P0DXJ1,PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:38212296}.
P0DXJ2,PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:38212296}.
P0DXJ3,"PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:11937349, ECO:0000269|PubMed:38212296}."
P0DXJ4,PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:38212296}.
P0DXJ5,PATHWAY: Alkaloid biosynthesis; ajmaline biosynthesis. {ECO:0000269|PubMed:38212296}.
P0DXJ6,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:38835170}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:38835170}.
P0DXJ7,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:38835170}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:38835170}.
P0DXJ8,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:38835170}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:38835170}.
P0DXJ9,PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:38835170}.; PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:38835170}.
P0DXV0,PATHWAY: Steroid biosynthesis; sterol biosynthesis. {ECO:0000250|UniProtKB:Q4WNT5}.
P0DXV1,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:39105744}.
P0DXV2,PATHWAY: Antifungal biosynthesis. {ECO:0000305|PubMed:33857369}.
P0DXV3,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:39105744}.
P0DXV4,PATHWAY: Antifungal biosynthesis. {ECO:0000305|PubMed:33857369}.
P0DXV5,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:39105744}.
P0DXV6,PATHWAY: Antifungal biosynthesis. {ECO:0000305|PubMed:33857369}.
P0DXV7,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:39105744}.
P0DXV8,PATHWAY: Antifungal biosynthesis. {ECO:0000305|PubMed:33857369}.
P0DXV9,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:39105744}.
P0DXW0,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:39105744}.
P0DXW1,PATHWAY: Antifungal biosynthesis. {ECO:0000305|PubMed:33857369}.
P0DXW2,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:39105744}.
P0DXZ1,PATHWAY: Amino-acid degradation. {ECO:0000305|PubMed:36690779}.
P0DXZ2,PATHWAY: Amino-acid degradation. {ECO:0000305|PubMed:36690779}.
P0DY05,PATHWAY: Capsule biogenesis; capsule polysaccharide biosynthesis. {ECO:0000269|PubMed:38382015}.
P0DY06,PATHWAY: Capsule biogenesis; capsule polysaccharide biosynthesis. {ECO:0000269|PubMed:38382015}.
P0DY07,PATHWAY: Capsule biogenesis; capsule polysaccharide biosynthesis. {ECO:0000269|PubMed:38382015}.
P0DY23,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:38404388}.
P9WEG0,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:38404388}.
P9WEG1,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:38404388}.
P9WEG2,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:38404388}.
P9WEG3,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:38404388}.
P9WEG4,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:38404388}.
P9WEG5,PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:38404388}.
P9WEG6,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:33857369}.
P9WEG7,PATHWAY: Antifungal biosynthesis. {ECO:0000269|PubMed:33857369}.
Q0CPG6,"PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:29995859, ECO:0000269|PubMed:39511739}."
Q0CPG7,"PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:29995859, ECO:0000269|PubMed:39511739}."
Q0CPG8,"PATHWAY: Secondary metabolite biosynthesis; terpenoid biosynthesis. {ECO:0000269|PubMed:29995859, ECO:0000269|PubMed:39511739}."
Q0CPG9,PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 3/4. {ECO:0000269|PubMed:29995859}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 3/4. {ECO:0000269|PubMed:29995859}.
Q1MWN4,PATHWAY: Pigment biosynthesis. {ECO:0000269|PubMed:17237222}.
Q2TXQ9,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:22447538}.
Q2WE96,"PATHWAY: Lipid metabolism; oxylipin biosynthesis. {ECO:0000269|PubMed:18326559, ECO:0000269|PubMed:7672118, ECO:0000269|PubMed:8690066, ECO:0000269|PubMed:9128734}."
Q3J189,PATHWAY: Carotenoid biosynthesis; spheroidene biosynthesis. {ECO:0000250|UniProtKB:P17055}.
Q47720,PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00047}.
Q4WWR8,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3. {ECO:0000269|PubMed:28045392}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5. {ECO:0000269|PubMed:28045392}.
Q4WXF4,PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000250|UniProtKB:P34896}.
Q5ALM0,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3. {ECO:0000269|PubMed:20124701}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5. {ECO:0000269|PubMed:20124701}.
Q5AY37,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:39334518}.
Q5AY39,PATHWAY: Secondary metabolite biosynthesis. {ECO:0000269|PubMed:39334518}.
Q5KIM6,PATHWAY: Protein biosynthesis; polypeptide chain elongation. {ECO:0000250|UniProtKB:O93796}.
Q5KPK7,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 2/3. {ECO:0000269|PubMed:26527262}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 2/5. {ECO:0000269|PubMed:26527262}.
Q70KH3,"PATHWAY: Antibiotic biosynthesis. {ECO:0000305|PubMed:14700630, ECO:0000305|PubMed:16292785}.; PATHWAY: Polyketide biosynthesis. {ECO:0000305|PubMed:14700630, ECO:0000305|PubMed:16292785}."
