Entry,Catalytic activity
A0A0F7TWW9,"CATALYTIC ACTIVITY: Reaction=(2R)-2,3-dihydroxy-3-methylbutanoate = 3-methyl-2-oxobutanoate + H2O; Xref=Rhea:RHEA:24809, ChEBI:CHEBI:11851, ChEBI:CHEBI:15377, ChEBI:CHEBI:49072; EC=4.2.1.9; Evidence={ECO:0000250|UniProtKB:Q0CPG9}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:24810; Evidence={ECO:0000250|UniProtKB:Q0CPG9}; CATALYTIC ACTIVITY: Reaction=(2R,3R)-2,3-dihydroxy-3-methylpentanoate = (S)-3-methyl-2-oxopentanoate + H2O; Xref=Rhea:RHEA:27694, ChEBI:CHEBI:15377, ChEBI:CHEBI:35146, ChEBI:CHEBI:49258; EC=4.2.1.9; Evidence={ECO:0000250|UniProtKB:P05791}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:27695; Evidence={ECO:0000250|UniProtKB:P05791};"
A0A0G4KL96,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000255|PROSITE-ProRule:PRU01097};
A0A0H2X5R2,"CATALYTIC ACTIVITY: Reaction=beta-nicotinamide D-ribonucleotide + diphosphate = 5-phospho-alpha-D-ribose 1-diphosphate + nicotinamide + H(+); Xref=Rhea:RHEA:16149, ChEBI:CHEBI:14649, ChEBI:CHEBI:15378, ChEBI:CHEBI:17154, ChEBI:CHEBI:33019, ChEBI:CHEBI:58017; EC=2.4.2.12; Evidence={ECO:0000269|PubMed:38429435}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:16151; Evidence={ECO:0000269|PubMed:38429435};"
A0A0H2X6L3,"CATALYTIC ACTIVITY: Reaction=deamido-NAD(+) + L-glutamine + ATP + H2O = L-glutamate + AMP + diphosphate + NAD(+) + H(+); Xref=Rhea:RHEA:24384, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:29985, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57540, ChEBI:CHEBI:58359, ChEBI:CHEBI:58437, ChEBI:CHEBI:456215; EC=6.3.5.1; Evidence={ECO:0000255|HAMAP-Rule:MF_02090};"
A0A0L1JEW4,"CATALYTIC ACTIVITY: Reaction=a 14alpha-methyl steroid + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = a Delta(14) steroid + formate + 3 oxidized [NADPH--hemoprotein reductase] + 4 H2O + 4 H(+); Xref=Rhea:RHEA:54028, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15740, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:138029, ChEBI:CHEBI:138031; EC=1.14.14.154; Evidence={ECO:0000250|UniProtKB:Q4WNT5}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:54029; Evidence={ECO:0000250|UniProtKB:Q4WNT5}; CATALYTIC ACTIVITY: Reaction=a 14alpha-methyl steroid + reduced [NADPH--hemoprotein reductase] + O2 = a 14alpha-hydroxymethyl steroid + oxidized [NADPH--hemoprotein reductase] + H2O + H(+); Xref=Rhea:RHEA:68060, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:138029, ChEBI:CHEBI:176901; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:68061; Evidence={ECO:0000250|UniProtKB:P10614}; CATALYTIC ACTIVITY: Reaction=a 14alpha-hydroxymethyl steroid + reduced [NADPH--hemoprotein reductase] + O2 = a 14alpha-formyl steroid + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+); Xref=Rhea:RHEA:68064, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:176901, ChEBI:CHEBI:176902; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:68065; Evidence={ECO:0000250|UniProtKB:P10614}; CATALYTIC ACTIVITY: Reaction=a 14alpha-formyl steroid + reduced [NADPH--hemoprotein reductase] + O2 = a Delta(14) steroid + formate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+); Xref=Rhea:RHEA:68068, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15740, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:138031, ChEBI:CHEBI:176902; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:68069; Evidence={ECO:0000250|UniProtKB:P10614}; CATALYTIC ACTIVITY: Reaction=lanosterol + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = 4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + formate + 3 oxidized [NADPH--hemoprotein reductase] + 4 H2O + 4 H(+); Xref=Rhea:RHEA:25286, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15740, ChEBI:CHEBI:16521, ChEBI:CHEBI:17813, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210; EC=1.14.14.154; Evidence={ECO:0000250|UniProtKB:Q4WNT5}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:25287; Evidence={ECO:0000250|UniProtKB:Q4WNT5}; CATALYTIC ACTIVITY: Reaction=lanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 32-hydroxylanosterol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+); Xref=Rhea:RHEA:75103, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16521, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:166806; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:75104; Evidence={ECO:0000250|UniProtKB:P10614}; CATALYTIC ACTIVITY: Reaction=32-hydroxylanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 32-oxolanosterol + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+); Xref=Rhea:RHEA:75107, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:166681, ChEBI:CHEBI:166806; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:75108; Evidence={ECO:0000250|UniProtKB:P10614}; CATALYTIC ACTIVITY: Reaction=32-oxolanosterol + reduced [NADPH--hemoprotein reductase] + O2 = 4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + formate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+); Xref=Rhea:RHEA:75111, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15740, ChEBI:CHEBI:17813, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:166681; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:75112; Evidence={ECO:0000250|UniProtKB:P10614}; CATALYTIC ACTIVITY: Reaction=eburicol + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = 14-demethyleburicol + formate + 3 oxidized [NADPH--hemoprotein reductase] + 4 H2O + 4 H(+); Xref=Rhea:RHEA:75439, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15740, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:70315, ChEBI:CHEBI:194330; Evidence={ECO:0000250|UniProtKB:Q4WNT5}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:75440; Evidence={ECO:0000250|UniProtKB:Q4WNT5}; CATALYTIC ACTIVITY: Reaction=eburicol + reduced [NADPH--hemoprotein reductase] + O2 = 32-hydroxyeburicol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+); Xref=Rhea:RHEA:75427, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:70315, ChEBI:CHEBI:194328; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:75428; Evidence={ECO:0000250|UniProtKB:P10614}; CATALYTIC ACTIVITY: Reaction=32-hydroxyeburicol + reduced [NADPH--hemoprotein reductase] + O2 = 32-oxoeburicol + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+); Xref=Rhea:RHEA:75431, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:194328, ChEBI:CHEBI:194329; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:75432; Evidence={ECO:0000250|UniProtKB:P10614}; CATALYTIC ACTIVITY: Reaction=32-oxoeburicol + reduced [NADPH--hemoprotein reductase] + O2 = 14-demethyleburicol + formate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+); Xref=Rhea:RHEA:75435, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:15740, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:194329, ChEBI:CHEBI:194330; Evidence={ECO:0000250|UniProtKB:P10614}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:75436; Evidence={ECO:0000250|UniProtKB:P10614};"
A0A0L1JF11,"CATALYTIC ACTIVITY: Reaction=restrictinol + glycine + H(+) = restricticin + H2O; Xref=Rhea:RHEA:81535, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57305, ChEBI:CHEBI:231923, ChEBI:CHEBI:231924; Evidence={ECO:0000269|PubMed:33857369}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81536; Evidence={ECO:0000269|PubMed:33857369};"
A0A0L1JF88,"CATALYTIC ACTIVITY: Reaction=desmethylrestrictinol + S-adenosyl-L-methionine = restrictinol + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:81531, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:231922, ChEBI:CHEBI:231923; Evidence={ECO:0000269|PubMed:33857369}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81532; Evidence={ECO:0000269|PubMed:33857369};"
A0A0R0H9T5,"CATALYTIC ACTIVITY: Reaction=[protein]-peptidylproline (omega=180) = [protein]-peptidylproline (omega=0); Xref=Rhea:RHEA:16237, Rhea:RHEA-COMP:10747, Rhea:RHEA-COMP:10748, ChEBI:CHEBI:83833, ChEBI:CHEBI:83834; EC=5.2.1.8; Evidence={ECO:0000250|UniProtKB:P62937};"
A0A0U3AB61,"CATALYTIC ACTIVITY: Reaction=UDP-N-acetyl-alpha-D-mannosamine + 2 NAD(+) + H2O = UDP-N-acetyl-alpha-D-mannosaminouronate + 2 NADH + 3 H(+); Xref=Rhea:RHEA:25780, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:68623, ChEBI:CHEBI:70731; EC=1.1.1.336; Evidence={ECO:0000269|PubMed:38382015}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:25781; Evidence={ECO:0000269|PubMed:38382015};"
A0A0U3CEN8,"CATALYTIC ACTIVITY: Reaction=UDP-N-acetyl-alpha-D-glucosamine = UDP-N-acetyl-alpha-D-mannosamine; Xref=Rhea:RHEA:17213, ChEBI:CHEBI:57705, ChEBI:CHEBI:68623; EC=5.1.3.14; Evidence={ECO:0000269|PubMed:38382015}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:17214; Evidence={ECO:0000269|PubMed:38382015};"
A0A0U3S9Q3,"CATALYTIC ACTIVITY: Reaction=17-O-acetylnorajmaline + NADP(+) = (2R)-1,2-dihydrovomilenine + NADPH + 2 H(+); Xref=Rhea:RHEA:12320, ChEBI:CHEBI:15378, ChEBI:CHEBI:17372, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:77725; EC=1.3.1.73; Evidence={ECO:0000269|PubMed:12391554, ECO:0000269|PubMed:38212296}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:12322; Evidence={ECO:0000269|PubMed:12391554, ECO:0000269|PubMed:38212296}; CATALYTIC ACTIVITY: Reaction=(20S)-19,20-dihydrovomilenine + NADP(+) = vomilenine + NADPH + H(+); Xref=Rhea:RHEA:79635, ChEBI:CHEBI:15378, ChEBI:CHEBI:16408, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:230482; Evidence={ECO:0000269|PubMed:26715562, ECO:0000269|PubMed:38212296}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:79637; Evidence={ECO:0000269|PubMed:26715562, ECO:0000269|PubMed:38212296};"
A0A0U4AHM6,"CATALYTIC ACTIVITY: Reaction=(E)-cinnamyl alcohol + NADP(+) = (E)-cinnamaldehyde + NADPH + H(+); Xref=Rhea:RHEA:10392, ChEBI:CHEBI:15378, ChEBI:CHEBI:16731, ChEBI:CHEBI:33227, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.1.1.195; Evidence={ECO:0000269|PubMed:26715562}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:10394; Evidence={ECO:0000269|PubMed:26715562};"
A0A0U4BHM2,"CATALYTIC ACTIVITY: Reaction=17-O-acetylnorajmaline + NADP(+) = (2R)-1,2-dihydrovomilenine + NADPH + 2 H(+); Xref=Rhea:RHEA:12320, ChEBI:CHEBI:15378, ChEBI:CHEBI:17372, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:77725; EC=1.3.1.73; Evidence={ECO:0000250|UniProtKB:A0A0U3S9Q3}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:12322; Evidence={ECO:0000250|UniProtKB:A0A0U3S9Q3}; CATALYTIC ACTIVITY: Reaction=(20S)-19,20-dihydrovomilenine + NADP(+) = vomilenine + NADPH + H(+); Xref=Rhea:RHEA:79635, ChEBI:CHEBI:15378, ChEBI:CHEBI:16408, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:230482; Evidence={ECO:0000269|PubMed:26715562}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:79637; Evidence={ECO:0000269|PubMed:26715562};"
A0A125YQS6,"CATALYTIC ACTIVITY: Reaction=L-lysine(in) = L-lysine(out); Xref=Rhea:RHEA:70935, ChEBI:CHEBI:32551; Evidence={ECO:0000269|PubMed:34432856}; CATALYTIC ACTIVITY: Reaction=L-arginine(in) = L-arginine(out); Xref=Rhea:RHEA:32143, ChEBI:CHEBI:32682; Evidence={ECO:0000269|PubMed:34432856}; CATALYTIC ACTIVITY: Reaction=L-methionine(in) = L-methionine(out); Xref=Rhea:RHEA:70939, ChEBI:CHEBI:57844; Evidence={ECO:0000269|PubMed:34432856}; CATALYTIC ACTIVITY: Reaction=L-leucine(in) = L-leucine(out); Xref=Rhea:RHEA:73011, ChEBI:CHEBI:57427; Evidence={ECO:0000269|PubMed:34432856};"
A0A125YWU9,"CATALYTIC ACTIVITY: Reaction=cholesterol(in) = cholesterol(out); Xref=Rhea:RHEA:39747, ChEBI:CHEBI:16113; Evidence={ECO:0000250|UniProtKB:Q8I266};"
A0A139AVY4,"CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + phosphate + H(+); Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; Evidence={ECO:0000250|UniProtKB:P16521};"
