Entry,Gene Ontology (cellular component)
A0A223HDI2,cytosol [GO:0005829]; membrane [GO:0016020]
A0A224AHH8,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; vesicle [GO:0031982]
A0A2H1K3G9,cytoplasm [GO:0005737]
A0A2H4S6M4,extracellular region [GO:0005576]
A0A2H4SBS0,extracellular region [GO:0005576]
A0A2H4SHM4,extracellular region [GO:0005576]
A0A2H4SI69,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A2H4SKW2,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A2K3D1C8,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
A0A2P1AAV1,mitochondrial inner membrane [GO:0005743]; plasma membrane [GO:0005886]
A0A2R8QHQ6,acrosomal membrane [GO:0002080]; plasma membrane [GO:0005886]
A0A2R8YED5,plasma membrane [GO:0005886]
A0A2T3YYV2,extracellular region [GO:0005576]
A0A2T3Z3L3,extracellular region [GO:0005576]
A0A2T3ZAF2,extracellular region [GO:0005576]
A0A2T3ZC06,extracellular region [GO:0005576]
A0A2T3ZCF4,extracellular region [GO:0005576]
A0A2T3ZJ73,extracellular region [GO:0005576]
A0A2T3ZJV9,extracellular region [GO:0005576]
A0A2T3ZKC8,extracellular region [GO:0005576]
A0A2Z5U368,membrane [GO:0016020]
A0A2Z5U3C2,membrane [GO:0016020]
A0A2Z5U6I9,membrane [GO:0016020]
A0A2Z5UHX0,cytoplasm [GO:0005737]
A0A364LYQ6,nucleus [GO:0005634]
A0A384J6C4,fungal-type cell wall [GO:0009277]; side of membrane [GO:0098552]
A0A384JJM8,extracellular region [GO:0005576]
A0A384JN58,fungal-type cell wall [GO:0009277]; incipient cellular bud site [GO:0000131]; side of membrane [GO:0098552]
A0A384JW35,extracellular region [GO:0005576]
A0A384JXV5,extracellular region [GO:0005576]
A0A384K116,cellular bud neck septin ring [GO:0000144]; fungal-type cell wall [GO:0009277]; side of membrane [GO:0098552]
A0A384K474,extracellular region [GO:0005576]
A0A384K4T0,fungal-type cell wall [GO:0009277]; membrane [GO:0016020]
A0A385XI13,cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A385XIL0,nucleus [GO:0005634]
A0A3B3IT45,plasma membrane [GO:0005886]
A0A3F2YLV2,cytoplasm [GO:0005737]
A0A3N2PQC3,extracellular region [GO:0005576]
A0A3P8MJV5,extracellular region [GO:0005576]; nematocyst [GO:0042151]
A0A3Q7EKL1,nucleus [GO:0005634]
A0A3S6I186,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; vesicle [GO:0031982]
A0A455LJ99,nucleus [GO:0005634]
A0A455ZIM5,membrane [GO:0016020]
A0A455ZIM6,plasma membrane [GO:0005886]
A0A455ZJD4,cytoplasm [GO:0005737]
A0A498JQK2,cytoplasm [GO:0005737]; phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; plasma membrane [GO:0005886]
A0A4W3GG95,plasma membrane [GO:0005886]
A0A509AC44,plasma membrane [GO:0005886]; symbiont-containing vacuole [GO:0020003]
A0A509AKT6,motile cilium [GO:0031514]; plasma membrane [GO:0005886]
A0A509AM03,extracellular region [GO:0005576]; transport vesicle [GO:0030133]
A0A509AM18,apicoplast [GO:0020011]; membrane [GO:0016020]
A0A5B9G902,chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A5C1J0Z8,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; vesicle [GO:0031982]
A0A5J5NT52,plasma membrane [GO:0005886]
A0A5J5T2N2,plasma membrane [GO:0005886]
A0A5N6H279,nucleus [GO:0005634]
A0A6A6H402,membrane [GO:0016020]
A0A6B9HEI0,cytosol [GO:0005829]
A0A6G6VYL3,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A6I8PUB9,plasma membrane [GO:0005886]
A0A6M3YMB5,host cell cytoplasm [GO:0030430]
A0A7G5KET3,cytosol [GO:0005829]; mitochondrion [GO:0005739]
A0A7J6JXB6,endosome membrane [GO:0010008]; trans-Golgi network membrane [GO:0032588]
A0A7J6JXE5,membrane [GO:0016020]
A0A7J6K0L7,cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; microneme [GO:0020009]
A0A7J6K144,endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]
A0A7J6K2G0,cytoplasmic vesicle [GO:0031410]; inner membrane pellicle complex [GO:0070258]; membrane [GO:0016020]; rhoptry [GO:0020008]
A0A7J6K452,cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]
A0A7J6K9S4,membrane [GO:0016020]
A0A7J6KC99,endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]
A0A7M4EAX1,cytoplasm [GO:0005737]
A0A7M6UMR7,endocytic vesicle [GO:0030139]; extracellular space [GO:0005615]; nucleolus [GO:0005730]; nucleus [GO:0005634]
A0A7M6W5F9,extracellular region [GO:0005576]
A0A7M6W880,extracellular region [GO:0005576]
A0A7T8F1I4,membrane [GO:0016020]
A0A7T8F1L2,membrane [GO:0016020]
A0A7T8F1M6,nucleus [GO:0005634]
A0A7U2MSD6,cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A7U2QYM2,"ADA complex [GO:0140671]; chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; nucleus [GO:0005634]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]"
A0A8A5N547,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A8C2LVE3,Golgi membrane [GO:0000139]
A0A8C2M425,endoplasmic reticulum membrane [GO:0005789]; mannosyltransferase complex [GO:0031501]
A0A8I5ZM56,centrosome [GO:0005813]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; spindle [GO:0005819]
A0A8I6ASZ5,cytosol [GO:0005829]; nucleus [GO:0005634]; RQC complex [GO:1990112]
A0A8I6GJ95,cytosol [GO:0005829]
A0A8I6GM68,aggresome [GO:0016235]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; caveola [GO:0005901]; cell leading edge [GO:0031252]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; histone deacetylase complex [GO:0000118]; inclusion body [GO:0016234]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]
A0A8J1K1A4,extracellular space [GO:0005615]
A0A8J1LLF7,cytoplasm [GO:0005737]; nucleus [GO:0005634]; RISC-loading complex [GO:0070578]
A0A8U0WQ84,extracellular region [GO:0005576]
A0A8U0WQF3,chromosome [GO:0005694]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; nucleolus [GO:0005730]
A0A8U1C100,extracellular region [GO:0005576]
A0A8U1C2Y4,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; nucleus [GO:0005634]
A0A8V0ZB02,actin cytoskeleton [GO:0015629]; early endosome membrane [GO:0031901]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]
A0A974H8H3,cytoplasm [GO:0005737]; nucleus [GO:0005634]; RISC-loading complex [GO:0070578]
A0A9E7LUJ4,membrane [GO:0016020]
A0A9E7S4M3,membrane [GO:0016020]
A0A9E7S4M4,membrane [GO:0016020]
A0A9E8S4N7,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A0A9P4XUZ4,cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A9P4XV22,chromatin [GO:0000785]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
A0A9P4XWM4,nucleoplasm [GO:0005654]
A0A9P5CQV5,nucleus [GO:0005634]
A0A9P5CTI1,extracellular region [GO:0005576]
A0AA51VJB7,membrane [GO:0016020]
A0AA51Z3J4,cytoplasm [GO:0005737]
A0AAE9G628,"virus tail, tube [GO:0098026]"
A0AAN2H888,membrane [GO:0016020]
A0AAN4PAE6,cytoplasm [GO:0005737]
A0AAN4PB13,cytoplasm [GO:0005737]
A0AAN4PBA1,membrane [GO:0016020]
A0AAQ4VMX2,axon [GO:0030424]; dendrite [GO:0030425]; extracellular space [GO:0005615]; synapse [GO:0045202]
A0AAT9JA24,cytosol [GO:0005829]
A0AAW1HA02,endomembrane system [GO:0012505]; membrane [GO:0016020]
A0AAW1I778,cytoplasm [GO:0005737]
A0AAW1J8D7,membrane [GO:0016020]
A0AAW1JA93,membrane [GO:0016020]
A0AAW1L0L7,lipid droplet [GO:0005811]
A0AAW1NEA3,membrane [GO:0016020]
A0AAW1NHX6,membrane [GO:0016020]
A0QVQ9,cytosol [GO:0005829]
A0R2N2,cytoplasm [GO:0005737]; extracellular region [GO:0005576]
A0R3E8,endomembrane system [GO:0012505]; plasma membrane [GO:0005886]
A1L1L6,mitochondrial outer membrane [GO:0005741]
A1Z830,nucleolus [GO:0005730]
A1ZB29,cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
A2A5N3,cytoplasm [GO:0005737]
A2IA78,extracellular region [GO:0005576]
A2IA89,extracellular region [GO:0005576]
A2IA90,extracellular region [GO:0005576]
A2IA93,extracellular region [GO:0005576]
A2IAB1,extracellular region [GO:0005576]
A2IAB2,extracellular region [GO:0005576]
A2IAD2,extracellular region [GO:0005576]
A2QQU8,membrane [GO:0016020]; nucleus [GO:0005634]
A2QQU9,membrane [GO:0016020]
A3FMN3,extracellular region [GO:0005576]; mitochondrial inner membrane [GO:0005743]; nucleus [GO:0005634]
A3KQ86,apical plasma membrane [GO:0016324]; endosome [GO:0005768]; membrane [GO:0016020]; myelin sheath [GO:0043209]; recycling endosome membrane [GO:0055038]
A4LAR6,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A4XXZ0,cytosol [GO:0005829]
A5K264,cytosol [GO:0005829]
A5K9W3,membrane [GO:0016020]
A6IPG1,cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; eukaryotic translation elongation factor 1 complex [GO:0005853]
A6TGC5,primosome complex [GO:1990077]
A6TGW7,nucleoid [GO:0009295]
A6THB2,replisome [GO:0030894]
A7BJ45,extracellular region [GO:0005576]
A7BJ46,extracellular region [GO:0005576]
A7GKX7,cytoplasm [GO:0005737]
A8JUV4,egg coat [GO:0035805]; extracellular region [GO:0005576]; vitelline envelope [GO:0060388]
A8M6W3,cytosol [GO:0005829]
A8P9W4,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
A8PA37,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
B0BNF8,cytoplasm [GO:0005737]; nuclear envelope [GO:0005635]
B0I564,nucleoplasm [GO:0005654]
B0WQ10,extracellular region [GO:0005576]; mitochondrial inner membrane [GO:0005743]; nucleus [GO:0005634]
B0XAA1,extracellular region [GO:0005576]
B1ARY8,extracellular region [GO:0005576]
B6ZKM3,cytosol [GO:0005829]
B6ZKM4,cytosol [GO:0005829]
B6ZKM5,cytosol [GO:0005829]
B6ZKN1,cytosol [GO:0005829]
B7R4L8,cytoplasm [GO:0005737]
B8JI67,plasma membrane [GO:0005886]
B8NLZ3,cytoplasm [GO:0005737]; nucleus [GO:0005634]
C0HMB8,extracellular region [GO:0005576]
C0HMB9,extracellular region [GO:0005576]
C0HMC0,extracellular region [GO:0005576]
C0HMC1,extracellular region [GO:0005576]
C0HMC2,extracellular region [GO:0005576]
C0JJA4,host cell cytoplasm [GO:0030430]; virion component [GO:0044423]
C3W5S0,host cell cytoplasm [GO:0030430]; host cell nucleus [GO:0042025]
C5E4D9,cytosol [GO:0005829]
C6KT66,cytosol [GO:0005829]
C6SZ50,nucleus [GO:0005634]; phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; plasma membrane [GO:0005886]
C6TA59,nucleus [GO:0005634]; phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; plasma membrane [GO:0005886]
D1FQ14,extracellular region [GO:0005576]
D1MWE7,extracellular region [GO:0005576]
D2VS83,cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule [GO:0005874]
D2XUU4,extracellular region [GO:0005576]
D2XUU5,extracellular region [GO:0005576]
D2XUU6,extracellular region [GO:0005576]
D2XUU7,extracellular region [GO:0005576]
D2XUU8,extracellular region [GO:0005576]
D2XUU9,extracellular region [GO:0005576]
D2XUV0,extracellular region [GO:0005576]
D2XUV1,extracellular region [GO:0005576]
D3KY98,cytosol [GO:0005829]
D3KY99,cytosol [GO:0005829]
D3KYA0,cytosol [GO:0005829]
D3TS87,extracellular region [GO:0005576]; mitochondrial inner membrane [GO:0005743]; nucleus [GO:0005634]
D3YXF5,extracellular region [GO:0005576]; membrane attack complex [GO:0005579]; plasma membrane [GO:0005886]
D3ZNV2,endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; nuclear membrane [GO:0031965]
D3ZX63,cytoplasm [GO:0005737]; motile cilium [GO:0031514]; plasma membrane [GO:0005886]; vesicle [GO:0031982]
D4A4L4,axon [GO:0030424]; centrosome [GO:0005813]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]
D4GU28,cytoplasm [GO:0005737]
D4QD81,cytoplasm [GO:0005737]; extracellular space [GO:0005615]
D5LWW7,helical viral capsid [GO:0019029]; host cell cytoplasm [GO:0030430]; ribonucleoprotein complex [GO:1990904]; viral nucleocapsid [GO:0019013]
D6RQ66,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
D8QCG9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
E0CZ22,lysosomal membrane [GO:0005765]
E0N688,cell outer membrane [GO:0009279]
E1B8U2,nucleus [GO:0005634]; tRNA methyltransferase complex [GO:0043527]
E1BMV3,collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; matrilin complex [GO:0120216]
E1BN00,monoatomic ion channel complex [GO:0034702]; plasma membrane [GO:0005886]
E4VP11,extracellular region [GO:0005576]
E6Y8B9,extracellular region [GO:0005576]
E7FEL0,plasma membrane [GO:0005886]
E7FHH1,cytoplasm [GO:0005737]
E7FL15,cytosol [GO:0005829]
E9EN44,extracellular region [GO:0005576]
E9F0C5,chromatin [GO:0000785]; nucleus [GO:0005634]
E9FBT2,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
E9FDE9,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
E9Q3D4,cytosol [GO:0005829]
E9Q3G8,cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nuclear inclusion body [GO:0042405]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore nuclear basket [GO:0044615]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
E9Q6D8,extracellular region [GO:0005576]; membrane attack complex [GO:0005579]; plasma membrane [GO:0005886]
E9QT94,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
F1M928,external side of plasma membrane [GO:0009897]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886]
F4JP43,nucleus [GO:0005634]; plasmodesma [GO:0009506]
F6K5S6,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
F6K6F3,extracellular region [GO:0005576]
G0RBE3,IRE1-TRAF2-ASK1 complex [GO:1990604]
G0RT93,cytoplasm [GO:0005737]; nucleus [GO:0005634]
G0RVE5,extracellular region [GO:0005576]
G0S1P8,mitochondrion [GO:0005739]; peroxisome [GO:0005777]
G0SCH6,nucleus [GO:0005634]
G0SE11,cytosol [GO:0005829]
G0SEG2,cytosolic large ribosomal subunit [GO:0022625]
G0SF80,nucleolus [GO:0005730]
G0SHQ2,ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]
G1X456,cAMP-dependent protein kinase complex [GO:0005952]; cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; nucleoplasm [GO:0005654]
G1X9A9,nucleus [GO:0005634]
G1X9E2,plasma membrane [GO:0005886]
G1X9H9,plasma membrane [GO:0005886]
G1XJN1,plasma membrane [GO:0005886]
G1XJZ0,cytoplasm [GO:0005737]; heterotrimeric G-protein complex [GO:0005834]
G1XJZ4,nucleus [GO:0005634]
G2WWH6,cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; host cell [GO:0043657]
G2X8M4,extracellular region [GO:0005576]
G4MRQ6,nucleoplasm [GO:0005654]; P-body [GO:0000932]
G4MSY9,nucleus [GO:0005634]
G4MYD3,nucleus [GO:0005634]
G4MZ21,cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]
G4N954,mitochondrion [GO:0005739]
G4NBR8,nucleus [GO:0005634]
G4NCP4,peroxisomal matrix [GO:0005782]
G7IFI7,chloroplast [GO:0009507]; cytoplasm [GO:0005737]
G7LCC3,endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]
G8JYB2,plasma membrane [GO:0005886]; striated muscle dense body [GO:0055120]
I0AIT9,cytoplasm [GO:0005737]
I1RQE2,cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; host cell [GO:0043657]
I1SSI6,cytoplasm [GO:0005737]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]
I6Y1I5,membrane [GO:0016020]
I6YBQ3,cytosol [GO:0005829]
I7AQG9,extracellular region [GO:0005576]
I7MD46,membrane [GO:0016020]
J4KPV6,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
J4UVD7,chromatin [GO:0000785]; nucleus [GO:0005634]
J4W2A8,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
J4WDT5,extracellular region [GO:0005576]
J4WMI6,extracellular region [GO:0005576]
J5JTB1,extracellular region [GO:0005576]
J9UD11,plasma membrane [GO:0005886]
J9VIL4,plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]
J9VIY8,cytoplasm [GO:0005737]
J9VQZ9,cytosol [GO:0005829]
J9VS37,cytosol [GO:0005829]
J9VTB0,plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]
K8ERU3,cytoplasm [GO:0005737]; lysosomal membrane [GO:0005765]
K9GHZ3,extracellular region [GO:0005576]
L0MZ37,extracellular region [GO:0005576]
L0MZ46,extracellular region [GO:0005576]
L0T2H7,extracellular region [GO:0005576]; host cell mitochondrion [GO:0033650]
L7N648,extracellular region [GO:0005576]; host cell mitochondrion [GO:0033650]; host cell nucleolus [GO:0044196]
L7X735,extracellular space [GO:0005615]
M4MEY9,extracellular region [GO:0005576]
M4MGK7,extracellular region [GO:0005576]
M4MLB5,extracellular region [GO:0005576]
M9PH32,cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]
O05858,plasma membrane [GO:0005886]
O06550,cytoplasm [GO:0005737]; extracellular region [GO:0005576]
O13502,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
O13503,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
O17899,plasma membrane [GO:0005886]
O33321,cytosol [GO:0005829]
O60047,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
O60048,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
O76269,plasma membrane [GO:0005886]
O76343,plasma membrane [GO:0005886]
O93917,extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
O94203,extracellular region [GO:0005576]
O96161,mitochondrion [GO:0005739]
O96533,checkpoint clamp complex [GO:0030896]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]
O97297,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P0DRD9,extracellular region [GO:0005576]
P0DRE0,extracellular region [GO:0005576]
P0DRE1,extracellular region [GO:0005576]
P0DRE2,extracellular region [GO:0005576]
P0DRE3,extracellular region [GO:0005576]
P0DRE4,extracellular region [GO:0005576]
P0DRE5,extracellular region [GO:0005576]
P0DRE6,extracellular region [GO:0005576]
P0DRE7,extracellular region [GO:0005576]
P0DRE8,extracellular region [GO:0005576]
P0DRE9,extracellular region [GO:0005576]
P0DRF0,extracellular region [GO:0005576]
P0DRF1,extracellular region [GO:0005576]
P0DRF2,extracellular region [GO:0005576]
P0DRF3,extracellular region [GO:0005576]
P0DRF4,extracellular region [GO:0005576]
P0DRF5,extracellular region [GO:0005576]
P0DRF6,extracellular region [GO:0005576]
P0DRF7,extracellular region [GO:0005576]
P0DRF8,extracellular region [GO:0005576]
P0DRF9,extracellular region [GO:0005576]
P0DRG0,extracellular region [GO:0005576]
P0DRG1,extracellular region [GO:0005576]
P0DRG2,extracellular region [GO:0005576]
P0DRG3,extracellular region [GO:0005576]
P0DRG4,extracellular region [GO:0005576]
P0DRG5,extracellular region [GO:0005576]
P0DRG6,extracellular region [GO:0005576]
P0DRG7,extracellular region [GO:0005576]
P0DRG8,extracellular region [GO:0005576]
P0DRG9,extracellular region [GO:0005576]
P0DRH0,extracellular region [GO:0005576]
P0DRH1,extracellular region [GO:0005576]
P0DRH2,extracellular region [GO:0005576]
P0DRH3,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
P0DRH4,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
P0DRH5,extracellular region [GO:0005576]; membrane [GO:0016020]; other organism cell membrane [GO:0044218]
