Entry,Transmembrane
A0A218NGS0,"TRANSMEM 3..23; /note=""Helical""; /evidence=""ECO:0000255"""
A0A2K3D1C8,"TRANSMEM 139..159; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 191..211; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 251..271; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 280..300; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 321..341; /note=""Helical""; /evidence=""ECO:0000255"""
A0A2P1AAV1,"TRANSMEM 124..144; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 170..190; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 243..263; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 271..291; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 350..370; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 380..400; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 779..799; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 830..850; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 903..923; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 929..949; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1014..1034; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 1044..1064; /note=""Helical""; /evidence=""ECO:0000255, ECO:0000255|PROSITE-ProRule:PRU00441"""
A0A2R8QHQ6,"TRANSMEM 287..307; /note=""Helical""; /evidence=""ECO:0000255"""
A0A2R8YED5,"TRANSMEM 29..49; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 66..86; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 98..118; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 141..163; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 196..216; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 237..257; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 270..290; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
A0A2Z5U368,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255"""
A0A2Z5U3C2,"TRANSMEM 3..23; /note=""Helical""; /evidence=""ECO:0000255"""
A0A2Z5U6I9,"TRANSMEM 13..35; /note=""Helical""; /evidence=""ECO:0000255"""
A0A384K4T0,"TRANSMEM 305..325; /note=""Helical""; /evidence=""ECO:0000255"""
A0A3B3IT45,"TRANSMEM 27..47; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 67..87; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 100..120; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 144..164; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 202..222; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 241..261; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 274..294; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
A0A455ZIM5,"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 38..58; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 72..92; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 125..145; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 154..174; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 255..275; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 284..304; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 318..338; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 348..368; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 398..418; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 427..447; /note=""Helical""; /evidence=""ECO:0000255"""
A0A455ZIM6,"TRANSMEM 48..68; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 83..103; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 121..141; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 145..165; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 171..191; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 203..223; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 236..256; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 269..289; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 298..318; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 336..356; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 374..394; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 403..423; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 438..460; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 516..536; /note=""Helical""; /evidence=""ECO:0000255"""
A0A4W3GG95,"TRANSMEM 9..45; /note=""Helical; Name=1""; /evidence=""ECO:0000250|UniProtKB:A0A6I8PUB9""; TRANSMEM 50..80; /note=""Helical; Name=2""; /evidence=""ECO:0000250|UniProtKB:A0A6I8PUB9""; TRANSMEM 86..121; /note=""Helical; Name=3""; /evidence=""ECO:0000250|UniProtKB:A0A6I8PUB9""; TRANSMEM 130..156; /note=""Helical; Name=4""; /evidence=""ECO:0000250|UniProtKB:A0A6I8PUB9""; TRANSMEM 173..210; /note=""Helical; Name=5""; /evidence=""ECO:0000250|UniProtKB:A0A6I8PUB9""; TRANSMEM 215..250; /note=""Helical; Name=6""; /evidence=""ECO:0000250|UniProtKB:A0A6I8PUB9""; TRANSMEM 261..289; /note=""Helical; Name=7""; /evidence=""ECO:0000250|UniProtKB:A0A6I8PUB9"""
A0A509AKT6,"TRANSMEM 12..32; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 181..201; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 220..240; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 244..264; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 285..305; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 312..332; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 346..366; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 398..418; /note=""Helical""; /evidence=""ECO:0000255"""
A0A509AM18,"TRANSMEM 41..64; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 76..96; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..126; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 132..156; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..195; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 201..220; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 241..260; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 280..300; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 312..330; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 346..366; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 416..437; /note=""Helical""; /evidence=""ECO:0000255"""
A0A6A6H402,"TRANSMEM 10..30; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 45..65; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 75..95; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 105..125; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 142..162; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 243..263; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 269..289; /note=""Helical""; /evidence=""ECO:0000255"""
A0A6I8PUB9,"TRANSMEM 9..45; /note=""Helical; Name=1""; /evidence=""ECO:0000269|PubMed:39753131""; TRANSMEM 50..80; /note=""Helical; Name=2""; /evidence=""ECO:0000269|PubMed:39753131""; TRANSMEM 86..121; /note=""Helical; Name=3""; /evidence=""ECO:0000269|PubMed:39753131""; TRANSMEM 130..156; /note=""Helical; Name=4""; /evidence=""ECO:0000269|PubMed:39753131""; TRANSMEM 173..211; /note=""Helical; Name=5""; /evidence=""ECO:0000269|PubMed:39753131""; TRANSMEM 216..251; /note=""Helical; Name=6""; /evidence=""ECO:0000269|PubMed:39753131""; TRANSMEM 268..296; /note=""Helical; Name=7""; /evidence=""ECO:0000269|PubMed:39753131"""
A0A7J6JXB6,"TRANSMEM 1404..1424; /note=""Helical""; /evidence=""ECO:0000255"""
A0A7J6JXE5,"TRANSMEM 886..906; /note=""Helical""; /evidence=""ECO:0000255"""
A0A7J6K144,"TRANSMEM 123..143; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2229..2249; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2276..2296; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2339..2359; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2420..2440; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2489..2509; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2539..2559; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2569..2589; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2607..2627; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2632..2652; /note=""Helical""; /evidence=""ECO:0000255"""
A0A7J6K2G0,"TRANSMEM 1404..1424; /note=""Helical""; /evidence=""ECO:0000255"""
A0A7J6K452,"TRANSMEM 30..50; /note=""Helical""; /evidence=""ECO:0000255"""
A0A7J6KC99,"TRANSMEM 223..243; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 6520..6540; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 6552..6572; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 6578..6598; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 6627..6647; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 6770..6790; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 6831..6851; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 6888..6908; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 6912..6932; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 7017..7037; /note=""Helical""; /evidence=""ECO:0000255"""
A0A7T8F1I4,"TRANSMEM 8..28; /note=""Helical""; /evidence=""ECO:0000255"""
A0A7T8F1L2,"TRANSMEM 6..26; /note=""Helical""; /evidence=""ECO:0000255"""
A0A8C2LVE3,"TRANSMEM 12..28; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
A0A8C2M425,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 78..98; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 114..134; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 137..157; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 162..182; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 193..213; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 235..255; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 328..348; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 380..400; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 471..491; /note=""Helical""; /evidence=""ECO:0000255"""
A0A8V0ZB02,"TRANSMEM 47..71; /note=""Helical; Name=TM0""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 139..171; /note=""Helical; Name=TM1""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 196..220; /note=""Helical; Name=TM2""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 421..450; /note=""Helical; Name=TM3""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 466..495; /note=""Helical; Name=TM4""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 500..536; /note=""Helical; Name=TM5""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 560..592; /note=""Helical; Name=TM6""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 613..631; /note=""Helical; Name=TM7""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 635..659; /note=""Helical; Name=TM8""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 667..695; /note=""Helical; Name=TM9""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9""; TRANSMEM 701..721; /note=""Helical; Name=TM10""; /evidence=""ECO:0000250|UniProtKB:Q3TWI9"""
A0A9E7LUJ4,"TRANSMEM 4..24; /note=""Helical""; /evidence=""ECO:0000255"""
A0A9E7S4M3,"TRANSMEM 4..24; /note=""Helical""; /evidence=""ECO:0000255"""
A0A9E7S4M4,"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255"""
A0AA51VJB7,"TRANSMEM 7..27; /note=""Helical""; /evidence=""ECO:0000255"""
A0AAN2H888,"TRANSMEM 28..48; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 59..79; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 106..126; /note=""Helical""; /evidence=""ECO:0000255"""
A0AAN4PBA1,"TRANSMEM 5..27; /note=""Helical""; /evidence=""ECO:0000255"""
A0AAW1HA02,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 42..62; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 478..498; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 508..528; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 546..566; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 581..601; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 636..656; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 669..689; /note=""Helical""; /evidence=""ECO:0000255"""
A0AAW1J8D7,"TRANSMEM 4..24; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
A0AAW1JA93,"TRANSMEM 3..23; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
A0AAW1NEA3,"TRANSMEM 3..23; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
A0R3E8,"TRANSMEM 113..133; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 143..163; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 166..186; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 234..254; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 275..295; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 384..404; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 413..433; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 437..457; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 473..493; /note=""Helical""; /evidence=""ECO:0000255"""
A1L1L6,"TRANSMEM 606..628; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255"""
A2QQU8,"TRANSMEM 249..269; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 302..322; /note=""Helical""; /evidence=""ECO:0000255"""
A2QQU9,"TRANSMEM 15..33; /note=""Helical""; /evidence=""ECO:0000255"""
A3KQ86,"TRANSMEM 35..55; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 68..88; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 99..119; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 139..159; /note=""Helical""; /evidence=""ECO:0000255"""
A5K9W3,"TRANSMEM 39..59; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 94..114; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 117..137; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 148..168; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 177..197; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 217..237; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 365..385; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 405..425; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 433..453; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 461..481; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 488..508; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 528..548; /note=""Helical""; /evidence=""ECO:0000255"""
B8JI67,"TRANSMEM 222..242; /note=""Helical""; /evidence=""ECO:0000255"""
D3ZNV2,"TRANSMEM 227..249; /note=""Helical""; /evidence=""ECO:0000255"""
E1BN00,"TRANSMEM 51..77; /note=""Helical; Name=M1""; /evidence=""ECO:0000250|UniProtKB:P49655""; TRANSMEM 132..157; /note=""Helical; Name=M2""; /evidence=""ECO:0000250|UniProtKB:P49655"""
E7FEL0,"TRANSMEM 17..53; /note=""Helical; Name=1""; /evidence=""ECO:0000269|PubMed:39799123, ECO:0007744|PDB:8ZFZ, ECO:0007744|PDB:9J31""; TRANSMEM 58..88; /note=""Helical; Name=2""; /evidence=""ECO:0000269|PubMed:39799123, ECO:0007744|PDB:8ZFZ, ECO:0007744|PDB:9J31""; TRANSMEM 94..129; /note=""Helical; Name=3""; /evidence=""ECO:0000269|PubMed:39799123, ECO:0007744|PDB:8ZFZ, ECO:0007744|PDB:9J31""; TRANSMEM 138..164; /note=""Helical; Name=4""; /evidence=""ECO:0000269|PubMed:39799123, ECO:0007744|PDB:8ZFZ, ECO:0007744|PDB:9J31""; TRANSMEM 181..218; /note=""Helical; Name=5""; /evidence=""ECO:0000269|PubMed:39799123, ECO:0007744|PDB:8ZFZ, ECO:0007744|PDB:9J31""; TRANSMEM 223..258; /note=""Helical; Name=6""; /evidence=""ECO:0000269|PubMed:39799123, ECO:0007744|PDB:8ZFZ, ECO:0007744|PDB:9J31""; TRANSMEM 269..297; /note=""Helical; Name=7""; /evidence=""ECO:0000269|PubMed:39799123, ECO:0007744|PDB:8ZFZ, ECO:0007744|PDB:9J31"""
E9Q6D8,"TRANSMEM 278..290; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:P13671""; TRANSMEM 402..415; /note=""Beta stranded""; /evidence=""ECO:0000250|UniProtKB:P13671"""
G0RBE3,"TRANSMEM 586..606; /note=""Helical""; /evidence=""ECO:0000255"""
G1X9E2,"TRANSMEM 30..50; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 62..82; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..128; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 144..164; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 186..206; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 327..347; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 357..377; /note=""Helical""; /evidence=""ECO:0000255"""
G1X9H9,"TRANSMEM 100..120; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 135..155; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 228..248; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 263..283; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 293..313; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 329..349; /note=""Helical""; /evidence=""ECO:0000255"""
G1XJN1,"TRANSMEM 17..37; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 48..68; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 94..114; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 129..149; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..196; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 295..315; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 322..342; /note=""Helical""; /evidence=""ECO:0000255"""
G7LCC3,"TRANSMEM 37..57; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 333..353; /note=""Helical""; /evidence=""ECO:0000255"""
I6Y1I5,"TRANSMEM 25..45; /note=""Helical""; /evidence=""ECO:0000255"""
I7MD46,"TRANSMEM 9..29; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2201..2221; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2238..2258; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2267..2287; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2296..2316; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2352..2372; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2386..2406; /note=""Helical""; /evidence=""ECO:0000255"""
J9UD11,"TRANSMEM 27..47; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 78..98; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..128; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 173..193; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 209..229; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 337..357; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 366..386; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 400..420; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 432..452; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 465..485; /note=""Helical""; /evidence=""ECO:0000255"""
J9VIL4,"TRANSMEM 58..78; /note=""Helical""; /evidence=""ECO:0000255"""
