Entry,Gene Ontology (molecular function)
A0A0F6B5X4,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tRNA binding [GO:0000049]"
A0A0F6B8D8,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tRNA binding [GO:0000049]"
A0A0F6B8D9,DNA binding [GO:0003677]
A0A0F6BAH8,DNA binding [GO:0003677]
A0A0F6BAH9,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tRNA binding [GO:0000049]"
A0A0F6NRE2,alpha-L-arabinofuranosidase activity [GO:0046556]
A0A0F7TWW9,"2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; metal ion binding [GO:0046872]"
A0A0F7TWX5,trichodiene synthase activity [GO:0045482]
A0A0F7TZ11,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A0F7U0K0,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A0G4KL96,"cellulose binding [GO:0030248]; endo-1,4-beta-xylanase activity [GO:0031176]"
A0A0G4PJR9,structural constituent of cell wall [GO:0005199]
A0A0H2X5R2,nicotinamide phosphoribosyltransferase activity [GO:0047280]
A0A0H2X6L3,ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]
A0A0H2XAU1,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
A0A0H3KA40,endopeptidase activity [GO:0004175]
A0A0J9VT58,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
A0A0J9VYS2,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
A0A0J9W3S9,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
A0A0J9W9G2,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
A0A0J9WAS0,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
A0A0J9WP80,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
A0A0J9WVC0,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
A0A0L1JEW4,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A0L1JEX1,"nucleotide binding [GO:0000166]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]"
A0A0L1JEZ9,monooxygenase activity [GO:0004497]
A0A0L1JF11,ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]
A0A0L1JF88,S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
A0A0L1JG62,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; methyltransferase activity [GO:0008168]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]
A0A0N7KBN8,toxin activity [GO:0090729]
A0A0R0H9T5,cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
A0A0U3AB61,"NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; UDP-glucose 6-dehydrogenase activity [GO:0003979]"
A0A0U3CEN8,UDP-N-acetylglucosamine 2-epimerase activity [GO:0008761]
A0A0U3S9Q3,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
A0A0U4AHM6,cinnamyl-alcohol dehydrogenase activity [GO:0045551]; zinc ion binding [GO:0008270]
A0A0U4BHM2,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
A0A139AVY4,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]
A0A162LR42,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]"
A0A166ACJ5,hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]
A0A172QE52,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]
A0A179UL48,aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]
A0A194VNL2,ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A194W8T8,ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A194WDG1,ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]
A0A1B5KW97,ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]
A0A1C3NEV1,"metal ion binding [GO:0046872]; phosphotransferase activity, phosphate group as acceptor [GO:0016776]"
A0A1D8PMB8,aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]
A0A1E3M8P2,nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]
A0A1H1YBL2,cystathionine gamma-lyase activity [GO:0004123]; pyridoxal phosphate binding [GO:0030170]
A0A1I1NU16,metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; ubiquitin-like protein peptidase activity [GO:0019783]
A0A1I1NU27,ubiquitin-like protein transferase activity [GO:0019787]
A0A1I1P074,ubiquitin-like modifier activating enzyme activity [GO:0008641]
A0A1I9QLC3,structural constituent of cell wall [GO:0005199]
A0A1I9QLC4,structural constituent of cell wall [GO:0005199]
A0A1I9QLC5,structural constituent of cell wall [GO:0005199]
A0A1I9QLC6,structural constituent of cell wall [GO:0005199]
A0A1I9QLC7,structural constituent of cell wall [GO:0005199]
A0A1I9QLC8,structural constituent of cell wall [GO:0005199]
A0A1I9QLC9,structural constituent of cell wall [GO:0005199]
A0A1I9QLD0,structural constituent of cell wall [GO:0005199]
A0A1I9QLD1,structural constituent of cell wall [GO:0005199]
A0A1L8F8I9,kinase activity [GO:0016301]
A0A218NGS0,heme binding [GO:0020037]; iron ion binding [GO:0005506]; isomerase activity [GO:0016853]; monooxygenase activity [GO:0004497]; vinorine hydroxylase activity [GO:0050596]
A0A223GB52,holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]
A0A223GEB2,ribosome binding [GO:0043022]; translation regulator activity [GO:0045182]
A0A223HDH4,mannitol-1-phosphate 5-dehydrogenase activity [GO:0008926]
A0A223HDI2,ceramide 1-phosphate binding [GO:1902387]; ceramide 1-phosphate transfer activity [GO:1902388]
A0A223HDI5,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor [GO:0050664]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
A0A224AHH8,cysteine-type endopeptidase inhibitor activity [GO:0004869]
A0A261GRE4,catechol oxidase activity [GO:0004097]; metal ion binding [GO:0046872]
A0A261GVB1,metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
A0A2G0QDN4,oxidoreductase activity [GO:0016491]
A0A2G0QDP0,carboxylesterase activity [GO:0106435]
A0A2H1K3G9,cystathionine gamma-lyase activity [GO:0004123]; methionine gamma-lyase activity [GO:0018826]; pyridoxal phosphate binding [GO:0030170]
A0A2H4SI69,structural constituent of cell wall [GO:0005199]
A0A2H4SKW2,structural constituent of cell wall [GO:0005199]
A0A2K3D1C8,cardiolipin synthase (CMP-forming) [GO:0043337]
A0A2P1AAV1,ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
A0A2R8QHQ6,protein binding involved in heterotypic cell-cell adhesion [GO:0086080]; signaling receptor binding [GO:0005102]
A0A2R8YED5,G protein-coupled receptor activity [GO:0004930]; odorant binding [GO:0005549]; olfactory receptor activity [GO:0004984]
A0A2Z5U367,prenyltransferase activity [GO:0004659]
A0A2Z5U368,FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]
A0A2Z5U3C2,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A2Z5U507,dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
A0A2Z5U6I9,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A2Z5UFJ1,O-methyltransferase activity [GO:0008171]
A0A2Z5UHX0,ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]
A0A364LYQ6,sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
A0A384J6C4,"glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]"
A0A384JN58,"glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]"
A0A384JXV5,"cellulose binding [GO:0030248]; endo-1,4-beta-xylanase activity [GO:0031176]"
A0A384K116,"glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]"
A0A384K474,"endo-1,4-beta-xylanase activity [GO:0031176]"
A0A384K4T0,"glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]"
A0A385XI11,L-iditol 2-dehydrogenase (NAD+) activity [GO:0003939]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]
A0A385XI13,hydrolase activity [GO:0016787]
A0A385XIL0,nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
A0A3B3IT45,G protein-coupled receptor activity [GO:0004930]; olfactory receptor activity [GO:0004984]
A0A3F2YLV2,calcium ion binding [GO:0005509]
A0A3Q7EKL1,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
A0A3R5XUE6,oxidoreductase activity [GO:0016491]
A0A3S6I186,cysteine-type endopeptidase inhibitor activity [GO:0004869]
A0A455LJ99,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]"
A0A455ZIK8,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A455ZIM5,transmembrane transporter activity [GO:0022857]
A0A455ZIM6,transmembrane transporter activity [GO:0022857]
A0A455ZJD4,ligase activity [GO:0016874]; methyltransferase activity [GO:0008168]; phosphopantetheine binding [GO:0031177]
A0A455ZJM4,glycosaminoglycan binding [GO:0005539]; metal ion binding [GO:0046872]; N-acetylglucosamine-6-sulfatase activity [GO:0008449]
A0A455ZKR7,dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
A0A455ZLR3,transferase activity [GO:0016740]
A0A455ZM03,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A455ZMR3,dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
A0A482PJF5,ubiquitin-protein transferase activity [GO:0004842]
A0A482PJY4,ubiquitin-protein transferase activity [GO:0004842]
A0A482PUS2,ubiquitin-protein transferase activity [GO:0004842]
A0A498JQK2,FMN binding [GO:0010181]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]
A0A4W3GG95,G protein-coupled receptor activity [GO:0004930]
A0A509AC44,cysteine-type peptidase activity [GO:0008234]
A0A509AM03,serine-type endopeptidase activity [GO:0004252]
A0A559KX76,"hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]"
A0A5B9G902,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]"
A0A5B9GBF0,ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]
A0A5C1J0Z8,cysteine-type endopeptidase inhibitor activity [GO:0004869]
A0A5J5NT52,ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A5J5T2N2,ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A5N6H279,sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
A0A6B9HEI0,"4 iron, 4 sulfur cluster binding [GO:0051539]; cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]"
A0A6G6VYL3,structural constituent of cell wall [GO:0005199]
A0A6I8PUB9,G protein-coupled receptor activity [GO:0004930]
A0A7G5KET3,ADP binding [GO:0043531]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoglycerate kinase activity [GO:0004618]
A0A7J6K452,calcium ion binding [GO:0005509]
A0A7M4EAX1,calcium ion binding [GO:0005509]
A0A7M6UMR7,nutrient reservoir activity [GO:0045735]
A0A7T8F1I4,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A7T8F1J7,dioxygenase activity [GO:0051213]
A0A7T8F1L2,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A7T8F1M9,FMN binding [GO:0010181]; NADPH dehydrogenase activity [GO:0003959]
A0A7T8F1N2,oxidoreductase activity [GO:0016491]
A0A7T8J1U7,amidophosphoribosyltransferase activity [GO:0004044]; metal ion binding [GO:0046872]
A0A7T8J1Z8,O-methyltransferase activity [GO:0008171]
A0A7U2MMF3,oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A7U2MSD6,metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]
A0A7U2QYM2,histone crotonyltransferase activity [GO:0140068]; histone H3K14 acetyltransferase activity [GO:0036408]; histone H3K18 acetyltransferase activity [GO:0043993]; histone H3K9 acetyltransferase activity [GO:0043992]; histone reader activity [GO:0140566]; lysine-acetylated histone binding [GO:0070577]; transcription coregulator activity [GO:0003712]
A0A8A5N547,structural constituent of cell wall [GO:0005199]
A0A8C2LVE3,3'-phosphoadenosine 5'-phosphosulfate binding [GO:0050656]; heparan sulfate 2-sulfotransferase activity [GO:0004394]
A0A8C2M425,"alpha-1,6-mannosyltransferase activity [GO:0000009]; glycolipid mannosyltransferase activity [GO:0004376]"
A0A8I6GJ95,D-threo-aldose 1-dehydrogenase activity [GO:0047834]; estradiol 17-beta-dehydrogenase [NAD(P)+] activity [GO:0004303]; identical protein binding [GO:0042802]
A0A8I6GM68,alpha-tubulin binding [GO:0043014]; ATPase inhibitor activity [GO:0042030]; beta-catenin binding [GO:0008013]; beta-tubulin binding [GO:0048487]; deacetylase activity [GO:0019213]; dynein complex binding [GO:0070840]; enzyme binding [GO:0019899]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; Hsp90 protein binding [GO:0051879]; microtubule binding [GO:0008017]; misfolded protein binding [GO:0051787]; peroxidase inhibitor activity [GO:0036479]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein lysine deacetylase activity [GO:0033558]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; tau protein binding [GO:0048156]; transcription corepressor binding [GO:0001222]; tubulin deacetylase activity [GO:0042903]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]
A0A8J1LLF7,ATP binding [GO:0005524]; deoxyribonuclease I activity [GO:0004530]; helicase activity [GO:0004386]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]
A0A8U0WQF3,nutrient reservoir activity [GO:0045735]
A0A8U1C2Y4,nutrient reservoir activity [GO:0045735]
A0A8V0ZB02,calcium-activated cation channel activity [GO:0005227]; mechanosensitive monoatomic cation channel activity [GO:0140135]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; phosphatidylcholine transfer activity [GO:0120019]; phospholipid scramblase activity [GO:0017128]; sphingomyelin transfer activity [GO:0140338]
A0A974H8H3,ATP binding [GO:0005524]; deoxyribonuclease I activity [GO:0004530]; helicase activity [GO:0004386]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]
A0A9E7LUJ4,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A9E7LUL3,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]"
A0A9E7LUR3,alcohol dehydrogenase (NADP+) activity [GO:0008106]; zinc ion binding [GO:0008270]
A0A9E7S4M3,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A9E7S4M4,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0A9E7S518,"oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
A0A9E7S5B9,oxidoreductase activity [GO:0016491]
A0A9E7S5E3,"acyltransferase activity [GO:0016746]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]"
A0A9E8S4N7,structural constituent of cell wall [GO:0005199]
A0A9P4XUZ4,dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
A0A9P4XV22,"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]"
A0A9P4XWM4,mRNA binding [GO:0003729]; N6-methyladenosine-containing RNA reader activity [GO:1990247]
A0A9P5CQV5,methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]
A0A9P5CTI1,acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]
A0AA51VIL5,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
A0AA51VIL7,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
A0AA51VIM4,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
A0AA51VJB7,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0AA51VKJ3,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
A0AA51Z0J6,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
A0AA51Z3J4,carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]
A0AA51Z3S7,O-methyltransferase activity [GO:0008171]; protein dimerization activity [GO:0046983]
A0AAN4PAE6,ammonia-lyase activity [GO:0016841]
A0AAN4PB13,ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]
A0AAN4PBA1,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0AAQ4VMX2,endopeptidase inhibitor activity [GO:0004866]
A0AAT9JA24,D-threo-aldose 1-dehydrogenase activity [GO:0047834]; estradiol 17-beta-dehydrogenase [NAD(P)+] activity [GO:0004303]; identical protein binding [GO:0042802]
A0AAW1HA02,cellulose synthase (UDP-forming) activity [GO:0016760]; glycosyltransferase activity [GO:0016757]
A0AAW1I778,"beta-glucosidase activity [GO:0008422]; hydrolase activity, acting on glycosyl bonds [GO:0016798]"
A0AAW1IQ05,UDP-glucosyltransferase activity [GO:0035251]; UDP-glycosyltransferase activity [GO:0008194]
A0AAW1J1B8,UDP-glucosyltransferase activity [GO:0035251]; UDP-glycosyltransferase activity [GO:0008194]
A0AAW1J8D7,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
A0AAW1J9R8,UDP-glucosyltransferase activity [GO:0035251]; UDP-glycosyltransferase activity [GO:0008194]
A0AAW1JA93,beta-amyrin 28-monooxygenase activity [GO:0102373]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]
A0AAW1K8I9,UDP-glucosyltransferase activity [GO:0035251]; UDP-glycosyltransferase activity [GO:0008194]
A0AAW1L0L7,beta-amyrin synthase activity [GO:0042300]
A0AAW1LG41,acyltransferase activity [GO:0016746]
A0AAW1M2U7,quercetin 3-O-glucosyltransferase activity [GO:0080043]; quercetin 7-O-glucosyltransferase activity [GO:0080044]; UDP-glycosyltransferase activity [GO:0008194]
A0AAW1MQS1,UDP-glucosyltransferase activity [GO:0035251]; UDP-glycosyltransferase activity [GO:0008194]
A0AAW1NEA3,beta-amyrin 28-monooxygenase activity [GO:0102373]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]
A0AAW1NHX6,"oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
A0QT90,class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; endonuclease activity [GO:0004519]; oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity [GO:0000703]; zinc ion binding [GO:0008270]
A0QT91,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]
A0QTR3,DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
A0QVQ9,sequence-specific DNA binding [GO:0043565]
A0R2N2,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
A0R3E8,dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]
A0R530,alanine racemase activity [GO:0008784]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
A1L1L6,calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]
A1Z830,RNA methyltransferase activity [GO:0008173]; rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]; S-adenosyl-L-methionine binding [GO:1904047]
A1ZB29,ATP binding [GO:0005524]; dTMP kinase activity [GO:0004798]; dUMP kinase activity [GO:0120136]; nucleoside diphosphate kinase activity [GO:0004550]; UMP/dUMP kinase activity [GO:0009041]
A2A5N3,poly(A) binding [GO:0008143]
A2AFS9,zinc ion binding [GO:0008270]
A2IA89,phosphatase activity [GO:0016791]
A2IA90,phosphatase activity [GO:0016791]
A2IA93,phosphatase activity [GO:0016791]
A2QQU4,metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
A2QQU5,"enoyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0141148]; nucleotide binding [GO:0000166]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]"
A2QQU8,"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]"
A2QQU9,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
