Entry,pH dependence
D3KYA0,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7 with (S)-reticuline as substrate. {ECO:0000269|PubMed:20061395};
D3TS87,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Active from pH 5.5 to 11.0. {ECO:0000269|PubMed:23110062};
D4QD81,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.0.;
E6Y8B9,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.0. Active from pH 6.0 to 8.5. {ECO:0000269|PubMed:38386597};
E7FL15,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.8 with cephaeline as substrate. {ECO:0000269|PubMed:21228475};
F6K5S6,"BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Has great tolerance to the acidic, neutral and alkaline environments. {ECO:0000269|PubMed:29896190};"
G2QA95,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.5 to 9.0. {ECO:0000269|PubMed:28010060};
I0AIT9,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Shows high activity at pH 5.0 to 8.0. {ECO:0000269|PubMed:35065074};
M4MEY9,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.0. {ECO:0000269|PubMed:23306124};
M4MGK7,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.0. {ECO:0000269|PubMed:23306124};
M4MLB5,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.0. {ECO:0000269|PubMed:23306124};
O51799,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.5-7. {ECO:0000269|PubMed:2241929};
P0DRJ4,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is <8. {ECO:0000269|PubMed:39620694};
P0DRJ7,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7-9. {ECO:0000269|PubMed:12821319};
P0DXG6,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.5. {ECO:0000269|PubMed:34554625};
P0DXG7,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.0. {ECO:0000269|PubMed:34554625};
P0DXJ3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 5.7-6.2. {ECO:0000269|PubMed:11937349};
P0DXX5,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.5-7.5. {ECO:0000269|PubMed:29777131};
P0DXY1,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8.0 with R-carvone and NADH as substrates. {ECO:0000269|PubMed:39867842};
P0DY04,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Shows stability to pH variations. {ECO:0000269|PubMed:27267248};
Q8I266,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.0 (PubMed:39693420). Inactive at pH 7.4 and 8.0 (PubMed:39693420). {ECO:0000269|PubMed:39693420};
Q8KN66,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is between 7 and 8. {ECO:0000269|PubMed:10747995};
Q95P65,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8.0. {ECO:0000269|PubMed:20351782};
Q9KZP3,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.5. {ECO:0000269|PubMed:19439403};
Q9RHD7,"BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 8.5. {ECO:0000269|PubMed:10931835, ECO:0000269|PubMed:18065759};"
V9TNS0,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 6.5. {ECO:0000269|PubMed:24262572};
V9TS54,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.0. {ECO:0000269|PubMed:24262572};
V9TT49,BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.0. {ECO:0000269|PubMed:24262572};
